Date and Time,AcademicYear,Department,GPA,Interest_AcademicWorkshop,Interest_CareerDev,Interest_SocialActivities,Interest_Sports,Interest_CulturalPrograms,Interest_TechMeetups,ParticipatedBefore,EventTypesAttended,EventAttendanceFrequency,Hypo_TechWorkshop,Hypo_ResumeWorkshop,Hypo_CulturalNight,Hypo_SportsTournament,Hypo_SocialCampaign,Personality,Motivation,FreeDays,PreferredTime,InterestTopics,SkillsToDevelop,Feedback,Recommended Event
7/14/2025 18:06,21/22,Department of Computing,2.75,2,2,2,3,4,5,No,Sports,Sometimes,1,4,3,2,3,"Outgoing, Team-oriented, Creative","Meeting New People, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Public Speaking, Communication, Creativity, Soft Skills",Clear explanations.,Tech Workshop
7/14/2025 18:14,21/22,Department of Computing,3.87,2,3,5,3,3,4,No,"Tech Meetups, Sports",Sometimes,4,3,5,5,4,"Outgoing, Team-oriented, Curious and eager to learn","Fun and Entertainment, Relaxation/Stress Relief, Meeting New People",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Business / Entrepreneurship, Designing / Creativity","Leadership, Communication, Creativity, Public Speaking",Practical and useful.,Social Engaging
7/14/2025 18:17,22/23,Department of Computing,2.12,5,2,2,1,1,4,No,"Tech Meetups, Academic Workshops, Cultural Events",Rarely,5,2,4,4,4,"Creative, Curious and eager to learn, Team-oriented","Learning New Skills, Relaxation/Stress Relief",Any day,Afternoon (12pm-4pm),"Designing / Creativity, Environmental & Social Impact, Artificial Intelligence / Data Science, Web/App Development","Soft Skills, AI, Public Speaking",Detailed content.,Tech Workshop
7/14/2025 18:22,22/23,Department of Computing,2.75,1,4,2,3,3,4,No,Tech Meetups,Rarely,5,5,2,3,5,"Outgoing, Logical thinker","Career Development, Fun and Entertainment, Relaxation/Stress Relief",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Public Speaking / Soft Skill","Leadership, Creativity, Communication",Could add mock tests.,Tech Workshop
7/14/2025 19:25,21/22,Department of Computing,2.93,4,3,2,1,4,3,No,Sports,Often,3,3,4,1,2,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Public Speaking, Communication",Too general.,Social Engaging
7/14/2025 20:15,21/22,Department of Computing,3.69,4,2,2,4,5,5,No,"Career Development, Tech Meetups",Always,4,4,2,1,5,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Well-structured.,Social Engaging
7/14/2025 20:16,22/23,Department of Computing,2.73,2,5,2,1,5,3,Yes,"Career Development, None",Always,5,1,3,3,3,Creative,"Career Development, Relaxation/Stress Relief, Fun and Entertainment",Weekends,Afternoon (12pm-4pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Communication, Creativity",Lacked detail.,Career Development
7/14/2025 20:43,21/22,Department of Computing,3.13,1,1,2,5,1,3,Yes,"Cultural Events, Academic Workshops",Often,3,1,3,2,2,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",Include gaming events.,Social Engaging
7/14/2025 20:51,21/22,Department of Computing,2.14,3,2,1,1,1,2,Yes,Social Service Activities,Sometimes,2,2,4,1,5,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",,Social Engaging
7/14/2025 21:17,20/21,Department of Computing,3.14,4,3,2,1,4,3,No,Sports,Often,3,3,4,1,2,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Public Speaking, Communication",Include volunteering slots.,Social Engaging
7/14/2025 22:01,21/22,Department of Computing,3.46,4,1,4,3,3,3,Yes,"Tech Meetups, Academic Workshops, Sports",Sometimes,3,5,3,5,2,"Curious and eager to learn, Logical thinker",Relaxation/Stress Relief,Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Creativity, Leadership",Include movie nights.,Social Engaging
7/14/2025 22:02,22/23,Department of Computing,2.14,1,2,5,5,1,3,Yes,Tech Meetups,Never,4,3,2,5,4,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",Could be shorter.,Hackathon
7/14/2025 22:43,21/22,Department of Computing,2.98,3,1,4,3,1,2,Yes,"Tech Meetups, Academic Workshops",Sometimes,3,1,1,2,5,"Curious and eager to learn, Logical thinker","Learning New Skills, Relaxation/Stress Relief, Fun and Entertainment",Weekdays,Night (After 8pm),"Health and Wellbeing, Environmental & Social Impact","Public Speaking, Soft Skills",Add talent shows.,Social Engaging
7/14/2025 22:47,20/21,Department of Computing,2.16,4,5,4,3,1,3,Yes,"Tech Meetups, Cultural Events",Often,1,3,5,3,1,"Curious and eager to learn, Creative",Career Development,Weekdays,Afternoon (12pm-4pm),"Designing / Creativity, Health and Wellbeing, Artificial Intelligence / Data Science, Environmental & Social Impact","Soft Skills, Communication, Creativity",More open-ended.,Career Development
7/14/2025 23:17,22/23,Department of Computing,2.08,1,1,2,5,1,3,Yes,"Cultural Events, Academic Workshops",Often,3,1,3,2,2,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",Include tech expos.,Hackathon
7/14/2025 23:17,22/23,Department of Computing,3.83,4,1,4,3,3,3,Yes,"Tech Meetups, Academic Workshops, Sports",Sometimes,3,5,3,5,2,"Curious and eager to learn, Logical thinker",Relaxation/Stress Relief,Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Creativity, Leadership",Add cultural clubs.,Career Development
7/14/2025 23:41,20/21,Department of Computing,2.55,4,2,2,4,5,5,No,"Career Development, Tech Meetups",Always,4,4,2,1,5,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Include alumni meet.,Tech Workshop
7/15/2025 0:23,22/23,Department of Computing,2.87,1,4,2,3,3,4,No,Tech Meetups,Rarely,5,5,2,3,5,"Outgoing, Logical thinker","Career Development, Fun and Entertainment, Relaxation/Stress Relief",Any day,Morning (8am-12pm),"Artificial Intelligence / Data Science, Public Speaking / Soft Skill","Leadership, Creativity, Communication",Add science fairs.,Career Development
7/15/2025 9:07,22/23,Department of Computing,2.98,5,2,5,2,2,3,Yes,"Academic Workshops, Sports, Cultural Events",Sometimes,5,3,2,1,1,Outgoing,"Meeting New People, Fun and Entertainment",Weekdays,Afternoon (12pm-4pm),"Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","AI, Communication, Public Speaking, Soft Skills",Add international events.,Social Engaging
7/15/2025 9:51,21/22,Department of Computing,2.28,3,5,3,5,1,4,Yes,"Academic Workshops, Career Development",Sometimes,3,1,4,3,3,Logical thinker,Meeting New People,Weekdays,Evening (4pm-8pm),"Health and Wellbeing, Designing / Creativity, Public Speaking / Soft Skill, Web/App Development","Soft Skills, Communication, Creativity, AI",Add mentoring programs.,Hackathon
7/15/2025 11:37,22/23,Department of Computing,2.03,1,2,5,5,1,3,Yes,Tech Meetups,Never,4,3,2,5,4,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",Add online seminars.,Social Engaging
7/15/2025 11:59,20/21,Department of Computing,2.18,2,1,2,4,3,5,No,Sports,Sometimes,3,1,1,3,4,"Team-oriented, Outgoing","Relaxation/Stress Relief, Learning New Skills",Weekends,Night (After 8pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science, Public Speaking / Soft Skill, Web/App Development","Soft Skills, Leadership, AI",,Tech Workshop
7/15/2025 13:15,20/21,Department of Computing,3.71,1,2,4,4,1,4,Yes,"Cultural Events, Career Development, Sports",Sometimes,3,1,3,3,1,"Creative, Outgoing","Fun and Entertainment, Meeting New People",Weekends,Morning (8am-12pm),"Artificial Intelligence / Data Science, Environmental & Social Impact, Web/App Development, Public Speaking / Soft Skill","Soft Skills, Creativity",Include industry visits.,Hackathon
7/15/2025 13:20,22/23,Department of Computing,2.46,1,2,4,4,1,4,Yes,"Cultural Events, Career Development, Sports",Sometimes,3,1,3,3,1,"Creative, Outgoing","Fun and Entertainment, Meeting New People",Weekends,Morning (8am-12pm),"Artificial Intelligence / Data Science, Environmental & Social Impact, Web/App Development, Public Speaking / Soft Skill","Soft Skills, Creativity",,Hackathon
7/15/2025 13:20,20/21,Department of Computing,2.73,5,5,5,1,3,5,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5,2,4,1,4,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",Missing entrepreneurship programs.,Tech Workshop
7/15/2025 13:24,20/21,Department of Computing,2.16,3,2,1,1,1,2,Yes,Social Service Activities,Sometimes,2,2,4,1,5,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",,Social Engaging
7/15/2025 13:43,20/21,Department of Computing,2.59,1,2,4,4,1,4,Yes,"Cultural Events, Career Development, Sports",Sometimes,3,1,3,3,1,"Creative, Outgoing","Fun and Entertainment, Meeting New People",Weekends,Morning (8am-12pm),"Artificial Intelligence / Data Science, Environmental & Social Impact, Web/App Development, Public Speaking / Soft Skill","Soft Skills, Creativity",Add debate competitions.,Social Engaging
7/15/2025 13:46,21/22,Department of Computing,3.76,5,2,5,2,2,3,Yes,"Academic Workshops, Sports, Cultural Events",Sometimes,5,3,2,1,1,Outgoing,"Meeting New People, Fun and Entertainment",Weekdays,Afternoon (12pm-4pm),"Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","AI, Communication, Public Speaking, Soft Skills",,Tech Workshop
7/15/2025 14:30,20/21,Department of Computing,3.63,5,1,5,5,2,3,No,"None, Career Development, Cultural Events",Sometimes,1,2,3,2,2,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",More interactive events.,Social Engaging
7/15/2025 15:01,21/22,Department of Computing,3.45,1,1,2,5,1,3,Yes,"Cultural Events, Academic Workshops",Often,3,1,3,2,2,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",,Hackathon
7/15/2025 15:28,20/21,Department of Computing,3.55,5,5,5,1,3,5,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5,2,4,1,4,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",Include faculty talks.,Social Engaging
7/15/2025 16:22,20/21,Department of Computing,3.55,5,5,5,1,3,5,Yes,"Tech Meetups, Cultural Events, Career Development",Sometimes,5,2,4,1,4,"Creative, Logical thinker","Fun and Entertainment, Career Development, Learning New Skills",Any day,Afternoon (12pm-4pm),"Environmental & Social Impact, Public Speaking / Soft Skill, Web/App Development","Communication, Creativity, Public Speaking",Well-structured.,Tech Workshop
7/15/2025 16:23,21/22,Department of Computing,2.72,3,2,1,1,1,2,Yes,Social Service Activities,Sometimes,2,2,4,1,5,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Add charity events.,Social Engaging
7/15/2025 17:03,22/23,Department of Computing,2.48,5,5,5,5,5,2,Yes,"Cultural Events, None",Sometimes,2,2,1,4,1,"Logical thinker, Creative, Curious and eager to learn",Relaxation/Stress Relief,Weekends,Evening (4pm-8pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Designing / Creativity, Public Speaking / Soft Skill","Public Speaking, Creativity, Leadership, Soft Skills",,Social Engaging
7/15/2025 17:15,20/21,Department of Computing,2.25,1,2,5,5,1,3,Yes,Tech Meetups,Never,4,3,2,5,4,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",Include guest lectures.,Hackathon
7/15/2025 18:25,22/23,Department of Computing,2.23,5,1,5,5,2,3,No,"None, Career Development, Cultural Events",Sometimes,1,2,3,2,2,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",,Social Engaging
7/15/2025 18:32,22/23,Department of Computing,2.24,3,1,5,2,1,2,No,"Social Service Activities, None",Never,2,3,3,3,4,"Curious and eager to learn, Outgoing","Fun and Entertainment, Learning New Skills, Meeting New People",Weekdays,Night (After 8pm),"Business / Entrepreneurship, Designing / Creativity, Health and Wellbeing","Leadership, AI",More detailed choices.,Social Engaging
7/15/2025 20:19,22/23,Department of Computing,2.62,4,3,2,1,4,3,No,Sports,Often,3,3,4,1,2,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Public Speaking, Communication",,Social Engaging
7/15/2025 20:47,20/21,Department of Computing,2.95,5,1,5,5,2,3,No,"None, Career Development, Cultural Events",Sometimes,1,2,3,2,2,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",Add sports training.,Social Engaging
7/15/2025 20:58,20/21,Department of Computing,2.09,4,1,3,3,3,1,No,"None, Academic Workshops, Social Service Activities",Always,4,1,2,5,3,"Logical thinker, Team-oriented, Outgoing",Fun and Entertainment,Any day,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Designing / Creativity, Environmental & Social Impact","AI, Creativity",,Hackathon
7/15/2025 22:17,22/23,Department of Computing,3.09,3,3,5,2,2,2,No,Tech Meetups,Never,3,4,5,4,5,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",,Social Engaging
7/15/2025 23:01,22/23,Department of Computing,3.09,3,3,5,2,2,2,No,Tech Meetups,Never,3,4,5,4,5,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",,Social Engaging
7/16/2025 9:01,21/22,Department of Computing,2.72,3,2,1,1,1,2,Yes,Social Service Activities,Sometimes,2,2,4,1,5,Logical thinker,"Fun and Entertainment, Relaxation/Stress Relief, Learning New Skills",Any day,Morning (8am-12pm),"Business / Entrepreneurship, Artificial Intelligence / Data Science","AI, Leadership, Public Speaking, Soft Skills",Easy to understand.,Social Engaging
7/16/2025 9:24,22/23,Department of Computing,2.48,5,5,5,5,5,2,Yes,"Cultural Events, None",Sometimes,2,2,1,4,1,"Logical thinker, Creative, Curious and eager to learn",Relaxation/Stress Relief,Weekends,Evening (4pm-8pm),"Environmental & Social Impact, Artificial Intelligence / Data Science, Designing / Creativity, Public Speaking / Soft Skill","Public Speaking, Creativity, Leadership, Soft Skills",,Hackathon
7/16/2025 9:37,20/21,Department of Computing,2.25,1,2,5,5,1,3,Yes,Tech Meetups,Never,4,3,2,5,4,"Logical thinker, Outgoing, Creative","Career Development, Fun and Entertainment",Weekends,Morning (8am-12pm),"Business / Entrepreneurship, Public Speaking / Soft Skill","Public Speaking, Leadership, Communication, Creativity",,Hackathon
7/16/2025 9:38,22/23,Department of Computing,2.23,5,1,5,5,2,3,No,"None, Career Development, Cultural Events",Sometimes,1,2,3,2,2,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",Add internships.,Social Engaging
7/16/2025 10:37,22/23,Department of Computing,2.24,3,1,5,2,1,2,No,"Social Service Activities, None",Never,2,3,3,3,4,"Curious and eager to learn, Outgoing","Fun and Entertainment, Learning New Skills, Meeting New People",Weekdays,Night (After 8pm),"Business / Entrepreneurship, Designing / Creativity, Health and Wellbeing","Leadership, AI",,Social Engaging
7/16/2025 12:16,22/23,Department of Computing,2.62,4,3,2,1,4,3,No,Sports,Often,3,3,4,1,2,Curious and eager to learn,"Career Development, Fun and Entertainment, Meeting New People",Any day,Night (After 8pm),"Designing / Creativity, Artificial Intelligence / Data Science, Web/App Development, Public Speaking / Soft Skill","Public Speaking, Communication",Include fun fairs.,Social Engaging
7/16/2025 12:32,20/21,Department of Computing,2.95,5,1,5,5,2,3,No,"None, Career Development, Cultural Events",Sometimes,1,2,3,2,2,"Creative, Outgoing, Logical thinker","Career Development, Relaxation/Stress Relief, Fun and Entertainment",Any day,Night (After 8pm),"Health and Wellbeing, Designing / Creativity, Environmental & Social Impact, Business / Entrepreneurship","Leadership, Soft Skills, Public Speaking, AI",,Hackathon
7/16/2025 13:38,20/21,Department of Computing,2.09,4,1,3,3,3,1,No,"None, Academic Workshops, Social Service Activities",Always,4,1,2,5,3,"Logical thinker, Team-oriented, Outgoing",Fun and Entertainment,Any day,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Designing / Creativity, Environmental & Social Impact","AI, Creativity",More weekend options.,Hackathon
7/16/2025 14:09,22/23,Department of Computing,3.09,3,3,5,2,2,2,No,Tech Meetups,Never,3,4,5,4,5,"Creative, Team-oriented, Curious and eager to learn","Learning New Skills, Career Development, Fun and Entertainment",Any day,Evening (4pm-8pm),"Health and Wellbeing, Artificial Intelligence / Data Science","Creativity, Communication",,Social Engaging
7/16/2025 15:56,21/22,Department of Computing,3.34,4,2,2,4,5,5,No,"Career Development, Tech Meetups",Always,4,4,2,1,5,Creative,"Learning New Skills, Fun and Entertainment",Weekdays,Evening (4pm-8pm),"Environmental & Social Impact, Public Speaking / Soft Skill","Communication, Public Speaking, AI, Leadership",Add cultural night.,Social Engaging
7/16/2025 16:05,20/21,Department of Computing,3.93,2,3,2,1,4,1,Yes,"Cultural Events, Career Development",Often,1,1,3,1,3,"Curious and eager to learn, Logical thinker",Meeting New People,Any day,Night (After 8pm),"Designing / Creativity, Web/App Development, Environmental & Social Impact, Health and Wellbeing","Creativity, Public Speaking",,Social Engaging
7/16/2025 17:07,20/21,Department of Computing,2.87,1,5,1,5,5,4,Yes,Social Service Activities,Often,5,5,4,2,3,"Creative, Curious and eager to learn",Career Development,Any day,Morning (8am-12pm),"Business / Entrepreneurship, Health and Wellbeing, Artificial Intelligence / Data Science","Soft Skills, Creativity, Communication, Leadership",Time slots not flexible.,Career Development
7/16/2025 17:21,21/22,Department of Computing,3.58,1,1,2,5,1,3,Yes,"Cultural Events, Academic Workshops",Often,3,1,3,2,2,"Outgoing, Curious and eager to learn, Logical thinker","Relaxation/Stress Relief, Meeting New People",Weekdays,Afternoon (12pm-4pm),"Public Speaking / Soft Skill, Artificial Intelligence / Data Science","Communication, Leadership",,Hackathon
